CP,Estado,Municipio
54850,E,Cuautitlán
54964,E,Tultepec
56335,E,Chimalhuacán
56370,E,Chicoloapan
55796,E,Nextlalpan
56386,E,Chicoloapan
54870,E,Cuautitlán
55728,E,Coacalco de Berriozábal
54910,E,Tultitlán
55764,E,Tecámac
56030,E,Chiautla
54720,E,Cuautitlán Izcalli
56040,E,Chiautla
55029,E,Ecatepec de Morelos
54783,E,Teoloyucan
55785,E,Tonanitla
54715,E,Cuautitlán Izcalli
54960,E,Tultepec
54605,E,Tepotzotlán
54745,E,Cuautitlán Izcalli
54840,E,Cuautitlán
54769,E,Cuautitlán Izcalli
54760,E,Cuautitlán Izcalli
55719,E,Coacalco de Berriozábal
54933,E,Tultitlán
56035,E,Chiautla
54927,E,Tultitlán
55730,E,Coacalco de Berriozábal
55790,E,Nextlalpan
54882,E,Melchor Ocampo
56110,E,Texcoco
54935,E,Tultitlán
55707,E,Coacalco de Berriozábal
54980,E,Tultepec
54786,E,Teoloyucan
56120,E,Texcoco
55018,E,Ecatepec de Morelos
56236,E,Texcoco
56100,E,Texcoco
56266,E,Texcoco
55712,E,Coacalco de Berriozábal
56377,E,Chicoloapan
54900,E,Tultitlán
54770,E,Teoloyucan
54614,E,Tepotzotlán
54890,E,Melchor Ocampo
56376,E,Chicoloapan
54955,E,Tultitlán
56208,E,Texcoco
56338,E,Chimalhuacán
54719,E,Cuautitlán Izcalli
55700,E,Coacalco de Berriozábal
54729,E,Cuautitlán Izcalli
56247,E,Texcoco
56226,E,Texcoco
54710,E,Cuautitlán Izcalli
56334,E,Chimalhuacán
54880,E,Melchor Ocampo
56380,E,Chicoloapan
54945,E,Tultitlán
54753,E,Cuautitlán Izcalli
56383,E,Chicoloapan
56105,E,Texcoco
55705,E,Coacalco de Berriozábal
54740,E,Cuautitlán Izcalli
54929,E,Tultitlán
54750,E,Cuautitlán Izcalli
54830,E,Cuautitlán
54932,E,Tultitlán
54958,E,Tultitlán
54985,E,Tultepec
54925,E,Tultitlán
54946,E,Tultitlán
56356,E,Chimalhuacán
56265,E,Texcoco
56360,E,Chimalhuacán
56225,E,Texcoco
56033,E,Chiautla
55710,E,Coacalco de Berriozábal
56264,E,Texcoco
55024,E,Ecatepec de Morelos
54807,E,Cuautitlán
54712,E,Cuautitlán Izcalli
56203,E,Texcoco
55720,E,Coacalco de Berriozábal
54930,E,Tultitlán
55040,E,Ecatepec de Morelos
54800,E,Cuautitlán
55010,E,Ecatepec de Morelos
54803,E,Cuautitlán
54858,E,Cuautitlán
55770,E,Tecámac
54660,E,Coyotepec
56246,E,Texcoco
54658,E,Tepotzotlán
56255,E,Texcoco
54944,E,Tultitlán
54440,E,Nicolás Romero
55714,E,Coacalco de Berriozábal
56260,E,Texcoco
54948,E,Tultitlán
54713,E,Cuautitlán Izcalli
54987,E,Tultepec
54743,E,Cuautitlán Izcalli
54857,E,Cuautitlán
56300,E,Atenco
55739,E,Coacalco de Berriozábal
56217,E,Texcoco
54942,E,Tultitlán
56160,E,Texcoco
56267,E,Texcoco
56373,E,Chicoloapan
54714,E,Cuautitlán Izcalli
55780,E,Jaltenco
56150,E,Texcoco
55016,E,Ecatepec de Morelos
56363,E,Chimalhuacán
54915,E,Tultitlán
55726,E,Coacalco de Berriozábal
55028,E,Ecatepec de Morelos
56253,E,Texcoco
55717,E,Coacalco de Berriozábal
56200,E,Texcoco
56170,E,Texcoco
56140,E,Texcoco
54943,E,Tultitlán
55765,E,Tecámac
54680,E,Huehuetoca
54725,E,Cuautitlán Izcalli
56230,E,Texcoco
55763,E,Tecámac
54965,E,Tultepec
56106,E,Texcoco
54963,E,Tultepec
56340,E,Chimalhuacán
56344,E,Chimalhuacán
54694,E,Huehuetoca
56205,E,Texcoco
55718,E,Coacalco de Berriozábal
56330,E,Chimalhuacán
56395,E,Chicoloapan
56130,E,Texcoco
56337,E,Chimalhuacán
42995,H,Atotonilco de Tula
54667,E,Coyotepec
54962,E,Tultepec
54984,E,Tultepec
56270,E,Chiconcuac
54967,E,Tultepec
56210,E,Texcoco
52977,E,Atizapán de Zaragoza
55066,E,Ecatepec de Morelos
55023,E,Ecatepec de Morelos
55060,E,Ecatepec de Morelos
55070,E,Ecatepec de Morelos
56366,E,Chimalhuacán
55635,E,Zumpango
55604,E,Zumpango
52920,E,Atizapán de Zaragoza
54685,E,Huehuetoca
52985,E,Atizapán de Zaragoza
56343,E,Chimalhuacán
54683,E,Huehuetoca
56220,E,Texcoco
54957,E,Tultitlán
55634,E,Zumpango
56240,E,Texcoco
54950,E,Tultitlán
54970,E,Tultepec
52997,E,Atizapán de Zaragoza
55600,E,Zumpango
54600,E,Tepotzotlán
55210,E,Ecatepec de Morelos
55748,E,Tecámac
56250,E,Texcoco
55076,E,Ecatepec de Morelos
55614,E,Zumpango
55630,E,Zumpango
55280,E,Ecatepec de Morelos
56050,E,Papalotla
55607,E,Zumpango
54100,E,Tlalnepantla de Baz
55270,E,Ecatepec de Morelos
56350,E,Chimalhuacán
54140,E,Tlalnepantla de Baz
52924,E,Atizapán de Zaragoza
57600,E,Nezahualcóyotl
56263,E,Texcoco
56390,E,Chicoloapan
57500,E,Nezahualcóyotl
56353,E,Chimalhuacán
56375,E,Chicoloapan
54696,E,Huehuetoca
54158,E,Tlalnepantla de Baz
54607,E,Tepotzotlán
54080,E,Tlalnepantla de Baz
55605,E,Zumpango
57300,E,Nezahualcóyotl
56245,E,Texcoco
57830,E,Nezahualcóyotl
52940,E,Atizapán de Zaragoza
55000,E,Ecatepec de Morelos
54150,E,Tlalnepantla de Baz
55104,E,Ecatepec de Morelos
54090,E,Tlalnepantla de Baz
57820,E,Nezahualcóyotl
57120,E,Nezahualcóyotl
54134,E,Tlalnepantla de Baz
09180,C,Iztapalapa
57000,E,Nezahualcóyotl
54949,E,Tultitlán
57620,E,Nezahualcóyotl
55340,E,Ecatepec de Morelos
08100,C,Iztacalco
09510,C,Iztapalapa
57460,E,Nezahualcóyotl
57510,E,Nezahualcóyotl
57800,E,Nezahualcóyotl
54924,E,Tultitlán
57450,E,Nezahualcóyotl
54474,E,Nicolás Romero
56490,E,La Paz
52947,E,Atizapán de Zaragoza
54475,E,Nicolás Romero
57310,E,Nezahualcóyotl
57940,E,Nezahualcóyotl
56530,E,Ixtapaluca
57710,E,Nezahualcóyotl
57440,E,Nezahualcóyotl
54020,E,Tlalnepantla de Baz
09280,C,Iztapalapa
54975,E,Tultepec
57200,E,Nezahualcóyotl
09640,C,Iztapalapa
09290,C,Iztapalapa
55130,E,Ecatepec de Morelos
09209,C,Iztapalapa
09700,C,Iztapalapa
09637,C,Iztapalapa
09220,C,Iztapalapa
55020,E,Ecatepec de Morelos
56346,E,Chimalhuacán
09570,C,Iztapalapa
09410,C,Iztapalapa
08040,C,Iztacalco
54976,E,Tultepec
57708,E,Nezahualcóyotl
57410,E,Nezahualcóyotl
52919,E,Atizapán de Zaragoza
09040,C,Iztapalapa
09690,C,Iztapalapa
09360,C,Iztapalapa
09100,C,Iztapalapa
13210,C,Tláhuac
56776,E,Ayapango
57750,E,Nezahualcóyotl
08730,C,Iztacalco
13219,C,Tláhuac
09750,C,Iztapalapa
09820,C,Iztapalapa
57740,E,Nezahualcóyotl
09000,C,Iztapalapa
09800,C,Iztapalapa
09300,C,Iztapalapa
09696,C,Iztapalapa
09608,C,Iztapalapa
09578,C,Iztapalapa
09630,C,Iztapalapa
09638,C,Iztapalapa
09310,C,Iztapalapa
09920,C,Iztapalapa
08310,C,Iztacalco
09239,C,Iztapalapa
09200,C,Iztapalapa
09230,C,Iztapalapa
09208,C,Iztapalapa
15630,C,Venustiano Carranza
57520,E,Nezahualcóyotl
09520,C,Iztapalapa
09620,C,Iztapalapa
09830,C,Iztapalapa
09850,C,Iztapalapa
56616,E,Valle de Chalco Solidaridad
54730,E,Cuautitlán Izcalli
56514,E,La Paz
54784,E,Teoloyucan
08510,C,Iztacalco
09900,C,Iztapalapa
09960,C,Iztapalapa
09780,C,Iztapalapa
08930,C,Iztacalco
13270,C,Tláhuac
08700,C,Iztacalco
09708,C,Iztapalapa
09810,C,Iztapalapa
57730,E,Nezahualcóyotl
54938,E,Tultitlán
09670,C,Iztapalapa
09240,C,Iztapalapa
55628,E,Zumpango
09720,C,Iztapalapa
13278,C,Tláhuac
56314,E,Atenco
09500,C,Iztapalapa
57720,E,Nezahualcóyotl
13319,C,Tláhuac
09660,C,Iztapalapa
56400,E,La Paz
13250,C,Tláhuac
09609,C,Iztapalapa
13220,C,Tláhuac
57840,E,Nezahualcóyotl
09760,C,Iztapalapa
11320,C,Miguel Hidalgo
55067,E,Ecatepec de Morelos
55360,E,Ecatepec de Morelos
09970,C,Iztapalapa
56512,E,La Paz
12400,C,Milpa Alta
09790,C,Iztapalapa
15810,C,Venustiano Carranza
09740,C,Iztapalapa
07890,C,Gustavo A. Madero
57700,E,Nezahualcóyotl
08030,C,Iztacalco
57210,E,Nezahualcóyotl
08500,C,Iztacalco
54764,E,Cuautitlán Izcalli
09060,C,Iztapalapa
16750,C,Xochimilco
56257,E,Texcoco
56618,E,Valle de Chalco Solidaridad
57130,E,Nezahualcóyotl
09770,C,Iztapalapa
09698,C,Iztapalapa
56605,E,Chalco
04910,C,Coyoacán
03020,C,Benito Juárez
56304,E,Atenco
14040,C,Tlalpan
56507,E,La Paz
06800,C,Cuauhtémoc
15610,C,Venustiano Carranza
15670,C,Venustiano Carranza
16710,C,Xochimilco
14100,C,Tlalpan
09438,C,Iztapalapa
09600,C,Iztapalapa
13540,C,Tláhuac
54666,E,Coyotepec
07410,C,Gustavo A. Madero
13280,C,Tláhuac
16770,C,Xochimilco
14275,C,Tlalpan
55297,E,Ecatepec de Morelos
13546,C,Tláhuac
13000,C,Tláhuac
08300,C,Iztacalco
01260,C,Álvaro Obregón
03510,C,Benito Juárez
11870,C,Miguel Hidalgo
09910,C,Iztapalapa
15410,C,Venustiano Carranza
04260,C,Coyoacán
13300,C,Tláhuac
14749,C,Tlalpan
13420,C,Tláhuac
09730,C,Iztapalapa
56516,E,La Paz
56600,E,Chalco
56640,E,Chalco
13200,C,Tláhuac
07790,C,Gustavo A. Madero
53570,E,Naucalpan de Juárez
54665,E,Coyotepec
57810,E,Nezahualcóyotl
05200,C,Cuajimalpa de Morelos
05050,C,Cuajimalpa de Morelos
01220,C,Álvaro Obregón
09856,C,Iztapalapa
56500,E,La Paz
54668,E,Coyotepec
14160,C,Tlalpan
09260,C,Iztapalapa
15820,C,Venustiano Carranza
16600,C,Xochimilco
01530,C,Álvaro Obregón
14440,C,Tlalpan
16610,C,Xochimilco
14400,C,Tlalpan
12200,C,Milpa Alta
09140,C,Iztapalapa
14300,C,Tlalpan
52789,E,Huixquilucan
01230,C,Álvaro Obregón
02980,C,Azcapotzalco
13530,C,Tláhuac
55450,E,Ecatepec de Morelos
56610,E,Valle de Chalco Solidaridad
09400,C,Iztapalapa
09829,C,Iztapalapa
56384,E,Chicoloapan
16035,C,Xochimilco
56510,E,La Paz
11860,C,Miguel Hidalgo
13010,C,Tláhuac
56617,E,Valle de Chalco Solidaridad
06090,C,Cuauhtémoc
01730,C,Álvaro Obregón
56644,E,Chalco
12100,C,Milpa Alta
56495,E,La Paz
04300,C,Coyoacán
09090,C,Iztapalapa
55787,E,Tonanitla
09880,C,Iztapalapa
07110,C,Gustavo A. Madero
04650,C,Coyoacán
04369,C,Coyoacán
16740,C,Xochimilco
09840,C,Iztapalapa
03800,C,Benito Juárez
08600,C,Iztacalco
54040,E,Tlalnepantla de Baz
07020,C,Gustavo A. Madero
56740,E,Tlalmanalco
15400,C,Venustiano Carranza
56509,E,La Paz
14710,C,Tlalpan
53219,E,Naucalpan de Juárez
01857,C,Álvaro Obregón
15000,C,Venustiano Carranza
15010,C,Venustiano Carranza
10380,C,La Magdalena Contreras
07350,C,Gustavo A. Madero
13080,C,Tláhuac
06020,C,Cuauhtémoc
56420,E,La Paz
13360,C,Tláhuac
56570,E,Ixtapaluca
01170,C,Álvaro Obregón
56607,E,Chalco
07969,C,Gustavo A. Madero
08020,C,Iztacalco
54180,E,Tlalnepantla de Baz
06240,C,Cuauhtémoc
55290,E,Ecatepec de Morelos
55715,E,Coacalco de Berriozábal
08720,C,Iztacalco
55294,E,Ecatepec de Morelos
55609,E,Zumpango
56410,E,La Paz
56315,E,Atenco
15970,C,Venustiano Carranza
56272,E,Chiconcuac
01298,C,Álvaro Obregón
10900,C,La Magdalena Contreras
16810,C,Xochimilco
09648,C,Iztapalapa
56440,E,La Paz
55950,E,Axapusco
54650,E,Tepotzotlán
05219,C,Cuajimalpa de Morelos
55240,E,Ecatepec de Morelos
55920,E,Otumba
56613,E,Valle de Chalco Solidaridad
03300,C,Benito Juárez
52790,E,Huixquilucan
56624,E,Chalco
13050,C,Tláhuac
03400,C,Benito Juárez
07510,C,Gustavo A. Madero
15530,C,Venustiano Carranza
56585,E,Ixtapaluca
16720,C,Xochimilco
13440,C,Tláhuac
05320,C,Cuajimalpa de Morelos
56643,E,Chalco
08650,C,Iztacalco
55120,E,Ecatepec de Morelos
55606,E,Zumpango
57950,E,Nezahualcóyotl
56536,E,Ixtapaluca
56589,E,Ixtapaluca
08900,C,Iztacalco
14739,C,Tlalpan
05600,C,Cuajimalpa de Morelos
06400,C,Cuauhtémoc
03440,C,Benito Juárez
55515,E,Ecatepec de Morelos
13093,C,Tláhuac
56538,E,Ixtapaluca
56524,E,La Paz
13450,C,Tláhuac
13040,C,Tláhuac
16300,C,Xochimilco
01860,C,Álvaro Obregón
55269,E,Ecatepec de Morelos
13410,C,Tláhuac
01269,C,Álvaro Obregón
07530,C,Gustavo A. Madero
02010,C,Azcapotzalco
54894,E,Melchor Ocampo
09530,C,Iztapalapa
53660,E,Naucalpan de Juárez
56430,E,La Paz
14420,C,Tlalpan
07960,C,Gustavo A. Madero
54763,E,Cuautitlán Izcalli
14200,C,Tlalpan
15210,C,Venustiano Carranza
13070,C,Tláhuac
14500,C,Tlalpan
13600,C,Tláhuac
06600,C,Cuauhtémoc
13310,C,Tláhuac
10630,C,La Magdalena Contreras
54477,E,Nicolás Romero
01830,C,Álvaro Obregón
01870,C,Álvaro Obregón
13099,C,Tláhuac
14429,C,Tlalpan
57150,E,Nezahualcóyotl
56604,E,Chalco
52779,E,Huixquilucan
55490,E,Ecatepec de Morelos
01550,C,Álvaro Obregón
08000,C,Iztacalco
57530,E,Nezahualcóyotl
03610,C,Benito Juárez
54959,E,Tultitlán
16749,C,Xochimilco
15700,C,Venustiano Carranza
12300,C,Milpa Alta
03100,C,Benito Juárez
54934,E,Tultitlán
52927,E,Atizapán de Zaragoza
57430,E,Nezahualcóyotl
07100,C,Gustavo A. Madero
16450,C,Xochimilco
56567,E,Ixtapaluca
09450,C,Iztapalapa
06250,C,Cuauhtémoc
09705,C,Iztapalapa
53470,E,Naucalpan de Juárez
56000,E,Tezoyuca
56244,E,Texcoco
53427,E,Naucalpan de Juárez
05260,C,Cuajimalpa de Morelos
15420,C,Venustiano Carranza
07500,C,Gustavo A. Madero
56614,E,Valle de Chalco Solidaridad
72499,P,Puebla
72470,P,Puebla
54879,E,Cuautitlán
57900,E,Nezahualcóyotl
52910,E,Atizapán de Zaragoza
07860,C,Gustavo A. Madero
07164,C,Gustavo A. Madero
72227,P,Puebla
01400,C,Álvaro Obregón
08760,C,Iztacalco
72550,P,Puebla
09210,C,Iztapalapa
01810,C,Álvaro Obregón
16040,C,Xochimilco
56070,E,Tepetlaoxtoc
15240,C,Venustiano Carranza
72210,P,Puebla
15220,C,Venustiano Carranza
15750,C,Venustiano Carranza
06720,C,Cuauhtémoc
50700,E,Jocotitlán
10600,C,La Magdalena Contreras
57100,E,Nezahualcóyotl
72116,P,Puebla
01030,C,Álvaro Obregón
01470,C,Álvaro Obregón
72670,P,Coronango
15830,C,Venustiano Carranza
72495,P,Puebla
15870,C,Venustiano Carranza
04380,C,Coyoacán
72120,P,Puebla
14030,C,Tlalpan
57170,E,Nezahualcóyotl
56606,E,Chalco
02630,C,Azcapotzalco
07979,C,Gustavo A. Madero
09849,C,Iztapalapa
56553,E,Ixtapaluca
01800,C,Álvaro Obregón
72595,P,Puebla
04400,C,Coyoacán
07780,C,Gustavo A. Madero
72490,P,Puebla
14220,C,Tlalpan
72160,P,Puebla
72580,P,Puebla
09870,C,Iztapalapa
16034,C,Xochimilco
72960,P,Puebla
72850,P,Ocoyucan
72730,P,Cuautlancingo
03500,C,Benito Juárez
09560,C,Iztapalapa
72498,P,Puebla
72477,P,Puebla
55055,E,Ecatepec de Morelos
54831,E,Cuautitlán
15300,C,Venustiano Carranza
04100,C,Coyoacán
53760,E,Naucalpan de Juárez
52777,E,Huixquilucan
08840,C,Iztacalco
12700,C,Milpa Alta
02050,C,Azcapotzalco
11400,C,Miguel Hidalgo
72019,P,Puebla
72760,P,San Pedro Cholula
72000,P,Puebla
02070,C,Azcapotzalco
13400,C,Tláhuac
55508,E,Ecatepec de Morelos
55744,E,Tecámac
16440,C,Xochimilco
16780,C,Xochimilco
08610,C,Iztacalco
72365,P,Puebla
72980,P,Amozoc
53490,E,Naucalpan de Juárez
53650,E,Naucalpan de Juárez
52918,E,Atizapán de Zaragoza
09429,C,Iztapalapa
75200,P,Tepeaca
72840,P,San Andrés Cholula
72080,P,Puebla
72390,P,Puebla
15960,C,Venustiano Carranza
07880,C,Gustavo A. Madero
56650,E,Temamatla
13700,C,Tláhuac
07910,C,Gustavo A. Madero
56560,E,Ixtapaluca
72660,P,Juan C. Bonilla
56520,E,La Paz
72450,P,Puebla
01290,C,Álvaro Obregón
55146,E,Ecatepec de Morelos
72380,P,Puebla
72377,P,Puebla
55980,E,Temascalapa
74169,P,Huejotzingo
56513,E,La Paz
74160,P,Huejotzingo
72520,P,Puebla
14700,C,Tlalpan
44259,J,Guadalajara
01538,C,Álvaro Obregón
44700,J,Guadalajara
72330,P,Puebla
13060,C,Tláhuac
08400,C,Iztacalco
15640,C,Venustiano Carranza
55767,E,Tecámac
15270,C,Venustiano Carranza
72044,P,Puebla
07140,C,Gustavo A. Madero
02300,C,Azcapotzalco
72474,P,Puebla
72530,P,Puebla
73800,P,Teziutlán
44980,J,Guadalajara
72464,P,Puebla
01520,C,Álvaro Obregón
44240,J,Guadalajara
44360,J,Guadalajara
09320,C,Iztapalapa
56227,E,Texcoco
05110,C,Cuajimalpa de Morelos
15500,C,Venustiano Carranza
72700,P,Cuautlancingo
56515,E,La Paz
44430,J,Guadalajara
72070,P,Puebla
72014,P,Puebla
56608,E,Chalco
90350,T,Apizaco
16880,C,Xochimilco
72756,P,San Pedro Cholula
56216,E,Texcoco
52778,E,Huixquilucan
72320,P,Puebla
44890,J,Guadalajara
44986,J,Guadalajara
15510,C,Venustiano Carranza
72995,P,Amozoc
52766,E,Huixquilucan
44260,J,Guadalajara
45500,J,San Pedro Tlaquepaque
44320,J,Guadalajara
45199,J,Zapopan
45599,J,San Pedro Tlaquepaque
72229,P,Puebla
72560,P,Puebla
55894,E,Acolman
72775,P,San Pedro Cholula
72104,P,Puebla
04600,C,Coyoacán
44910,J,Guadalajara
44990,J,Guadalajara
45653,J,Tlajomulco de Zúñiga
45236,J,Zapopan
44370,J,Guadalajara
44730,J,Guadalajara
45685,J,El Salto
06760,C,Cuauhtémoc
75657,P,Molcaxac
55320,E,Ecatepec de Morelos
72200,P,Puebla
53710,E,Naucalpan de Juárez
75380,P,Huatlatlauca
73080,P,Xicotepec
56529,E,La Paz
45588,J,San Pedro Tlaquepaque
44720,J,Guadalajara
90780,T,Xicohtzinco
55230,E,Ecatepec de Morelos
54416,E,Nicolás Romero
45520,J,San Pedro Tlaquepaque
45590,J,San Pedro Tlaquepaque
45417,J,Tonalá
09440,C,Iztapalapa
72370,P,Puebla
16797,C,Xochimilco
55859,E,San Martín de las Pirámides
72219,P,Puebla
72990,P,Amozoc
16010,C,Xochimilco
09420,C,Iztapalapa
07070,C,Gustavo A. Madero
09969,C,Iztapalapa
03580,C,Benito Juárez
72240,P,Puebla
02650,C,Azcapotzalco
15660,C,Venustiano Carranza
04919,C,Coyoacán
57420,E,Nezahualcóyotl
14060,C,Tlalpan
04490,C,Coyoacán
04480,C,Coyoacán
07720,C,Gustavo A. Madero
72310,P,Puebla
01548,C,Álvaro Obregón
10660,C,La Magdalena Contreras
72762,P,San Pedro Cholula
02040,C,Azcapotzalco
72270,P,Puebla
44300,J,Guadalajara
14268,C,Tlalpan
44840,J,Guadalajara
56525,E,La Paz
72045,P,Puebla
45596,J,San Pedro Tlaquepaque
72943,P,Puebla
05240,C,Cuajimalpa de Morelos
44760,J,Guadalajara
45560,J,San Pedro Tlaquepaque
45628,J,San Pedro Tlaquepaque
11840,C,Miguel Hidalgo
55709,E,Coacalco de Berriozábal
44820,J,Guadalajara
44100,J,Guadalajara
72300,P,Puebla
08770,C,Iztacalco
08620,C,Iztacalco
45066,J,Zapopan
44180,J,Guadalajara
57709,E,Nezahualcóyotl
45185,J,Zapopan
44724,J,Guadalajara
57760,E,Nezahualcóyotl
09430,C,Iztapalapa
44400,J,Guadalajara
72100,P,Puebla
45402,J,Tonalá
45180,J,Zapopan
45190,J,Zapopan
44770,J,Guadalajara
72587,P,Puebla
72702,P,Cuautlancingo
07750,C,Gustavo A. Madero
09860,C,Iztapalapa
45876,J,Ixtlahuacán de los Membrillos
57630,E,Nezahualcóyotl
75100,P,Tepatlaxco de Hidalgo
09319,C,Iztapalapa
72308,P,Puebla
57920,E,Nezahualcóyotl
09130,C,Iztapalapa
14650,C,Tlalpan
44190,J,Guadalajara
